T	Packet per tau	Transmissions per tau
0	15	6
1	11	8
2	11	7
3	12	10
4	11	10
5	24	12
6	18	13
7	9	9
8	12	12
9	10	7
10	11	10
11	9	9
12	27	13
13	21	15
14	16	14
15	16	14
16	11	11
17	14	11
18	56	14
19	62	13
20	46	15
21	45	15
22	52	15
23	46	18
24	61	15
25	57	19
26	54	20
27	32	16
28	42	20
29	31	16
30	27	14
31	39	17
32	49	21
33	59	17
34	49	16
35	51	18
36	41	19
37	48	19
38	65	22
39	57	21
40	57	22
41	72	16
42	63	22
43	59	18
44	40	17
45	75	25
46	60	22
47	57	17
48	67	20
49	62	24
50	65	25
51	46	24
52	52	20
53	65	20
54	63	22
55	78	25
56	72	25
57	70	22
58	59	22
59	73	22
60	78	27
61	88	26
62	74	21
63	95	22
64	98	25
65	91	24
66	57	22
67	67	24
68	86	21
69	53	18
70	64	25
71	85	32
72	83	24
73	89	28
74	76	25
75	73	22
76	97	25
77	99	23
78	92	26
79	70	21
80	95	29
81	106	28
82	81	27
83	57	21
84	52	22
85	81	24
86	80	30
87	73	23
88	79	24
89	91	27
90	109	26
91	99	27
92	61	20
93	56	22
94	60	23
95	50	18
96	77	23
97	52	20
98	58	20
99	81	19
100	86	24
101	78	21
102	73	20
103	108	23
104	93	22
105	92	20
106	77	24
107	75	24
108	80	19
109	73	19
110	86	28
111	70	22
112	83	23
113	55	20
114	63	20
115	52	20
116	65	25
117	84	23
118	65	22
119	75	25
120	56	23
121	78	24
122	86	23
123	84	22
124	84	24
125	89	24
126	94	27
127	94	27
128	95	22
129	81	24
130	103	27
131	98	25
132	91	24
133	81	21
134	66	20
135	92	22
136	83	23
137	66	21
138	88	23
139	71	22
140	48	18
141	73	19
142	79	18
143	115	27
144	78	20
145	102	22
146	78	21
147	74	26
148	97	29
149	106	24
150	119	27
151	111	23
152	105	24
153	91	25
154	112	28
155	134	28
156	134	27
157	120	28
158	78	24
159	122	29
160	149	28
161	125	27
162	98	25
163	101	28
164	124	33
165	124	31
166	102	27
167	114	27
168	106	24
169	90	24
170	122	29
171	123	23
172	96	21
173	88	18
174	91	25
175	84	21
176	129	25
177	106	22
178	120	24
179	104	26
180	91	23
181	124	26
182	126	24
183	152	29
184	116	21
185	96	21
186	131	28
187	101	29
188	103	24
189	93	22
190	104	25
191	121	25
192	98	22
193	91	22
194	106	24
195	93	22
196	84	28
197	120	26
198	106	27
199	92	22
200	94	28
201	117	29
202	132	27
203	60	18
204	109	22
205	126	31
206	139	28
207	112	27
208	129	27
209	111	23
210	83	22
211	114	27
212	130	27
213	95	26
214	101	23
215	115	23
216	99	25
217	117	26
218	112	27
219	88	21
220	104	22
221	97	19
222	103	23
223	109	27
224	113	23
225	91	21
226	124	26
227	86	25
228	116	25
229	129	29
230	125	29
231	139	26
232	118	23
233	133	26
234	116	24
235	106	22
236	113	26
237	146	31
238	90	25
239	127	32
240	114	28
241	144	33
242	107	27
243	90	25
244	85	24
245	114	26
246	152	32
247	99	26
248	94	24
249	94	22
250	102	25
251	71	25
252	97	23
253	125	27
254	103	24
255	86	21
256	106	24
257	90	21
258	122	26
259	90	20
260	118	27
261	89	22
262	74	19
263	98	24
264	113	28
265	124	28
266	83	27
267	100	25
268	103	23
269	73	21
270	82	25
271	100	24
272	94	24
273	97	24
274	101	22
275	109	22
276	144	28
277	101	24
278	109	24
279	135	22
280	132	26
281	114	24
282	131	29
283	114	24
284	106	20
285	120	24
286	109	28
287	124	29
288	122	29
289	105	22
290	149	27
291	117	26
292	106	24
293	99	26
294	99	24
295	107	23
296	117	28
297	83	24
298	106	27
299	107	22
300	68	20
301	100	21
302	76	19
303	98	24
304	84	19
305	85	23
306	94	19
307	104	24
308	100	23
309	113	24
310	89	25
311	98	27
312	77	20
313	97	23
314	81	20
315	93	25
316	102	27
317	128	22
318	86	21
319	86	19
320	93	24
321	112	26
322	99	23
323	100	23
324	82	22
325	84	27
326	101	26
327	112	31
328	101	22
329	105	24
330	116	29
331	93	26
332	131	27
333	104	21
334	83	25
335	85	24
336	82	23
337	74	20
338	64	18
339	63	23
340	54	19
341	63	18
342	125	27
343	76	21
344	131	29
345	109	26
346	110	29
347	78	22
348	73	24
349	70	24
350	65	23
351	67	23
352	70	21
353	83	22
354	91	22
355	132	22
356	98	22
357	108	23
358	113	25
359	0	0
