#t	PDR	Latency	Energy	Overhead	Hops	Band Usage				Packet per tau	Parallel Communications
0	0.0	0	0	0	0	0	0	0	0	0	0
30	0.17	6.75	518.28	10.47	3.65	0.5	0.375	0.0	0.125	20.6	14.9
60	0.26	19.5	163.28	5.74	4.82	0.505	0.406	0.0	0.089	23.07	17.43
90	0.29	25.79	159.66	5.6	5.12	0.507	0.395	0.0	0.099	23.67	18.32
120	0.39	35.81	97.39	4.8	5.05	0.513	0.374	0.009	0.104	26.46	19.18
150	0.41	31.88	89.34	5.41	4.86	0.513	0.352	0.007	0.127	28.04	20.04
180	0.37	34.24	84.54	5.61	5.24	0.512	0.37	0.006	0.113	28.24	20.26
210	0.32	34.57	60.06	5.0	5.39	0.512	0.348	0.005	0.136	29.16	20.7
240	0.32	31.9	57.86	5.27	5.51	0.511	0.36	0.004	0.125	29.22	20.69
270	0.33	32.47	56.16	5.93	5.5	0.511	0.361	0.004	0.124	29.41	20.83
300	0.39	39.1	50.45	6.01	5.55	0.511	0.358	0.003	0.128	29.86	21.07
330	0.39	40.88	48.26	6.03	5.66	0.511	0.349	0.006	0.134	29.26	20.98
360	0.42	47.1	48.12	6.81	5.98	0.511	0.364	0.006	0.119	28.71	20.81
