ID	s	d	ts	te	LLC	size	curr node	packetID	copies
----------------------------------------------------
1	0	4	0	136	136	60	0	0	1
6	0	5	0	114	114	3000	0	7	1
2	1	5	0	88	88	600	0	0	1
6	0	5	0	40	40	3000	0	4	1
6	0	5	0	34	34	3000	0	3	1
6	0	5	0	-1	-1	3000	0	2	1
0	0	5	0	-1	-1	600	0	1	1
12	2	5	0	87	87	600	0	1	1
10	0	5	0	107	107	60	0	0	1
7	0	4	0	115	115	60	0	0	1
3	0	5	0	119	119	600	0	1	1
6	0	5	0	160	160	3000	1	1	1
8	1	5	0	18	18	60	1	0	1
6	0	5	0	96	96	3000	2	9	1
12	2	5	0	-1	-1	600	2	0	2
6	0	5	0	95	95	3000	2	0	1
6	0	5	0	127	127	3000	2	1	1
2	1	5	0	145	145	600	2	0	1
6	0	5	0	213	213	3000	3	5	1
10	0	5	0	147	147	60	10	0	1
7	0	4	0	213	213	60	16	0	1
9	0	3	0	204	204	600	17	0	1
6	0	5	0	199	199	3000	25	5	1
1	0	4	0	183	183	60	30	0	1
0	0	5	0	199	199	600	31	1	1
6	0	5	0	201	201	3000	31	8	1
3	0	5	0	83	83	600	33	1	1
0	0	5	0	203	203	600	33	0	1
3	0	5	0	216	216	600	33	0	1
6	0	5	0	137	137	3000	34	7	1
0	0	5	0	135	135	600	34	0	1
10	0	5	0	132	132	60	34	0	1
1	0	4	0	134	134	60	34	0	1
0	0	5	0	121	121	600	38	0	1
6	0	5	0	94	94	3000	38	0	1
8	1	5	0	119	119	60	38	0	1
3	0	5	0	119	119	600	38	0	1
11	0	3	0	142	142	60	41	0	1
6	0	5	0	127	127	3000	42	2	1
4	1	4	0	209	209	60	44	0	1
0	0	5	0	204	204	600	45	0	1
5	2	5	0	147	147	600	45	1	1
6	0	5	0	127	127	3000	46	0	1
9	0	3	0	59	59	600	46	0	1
11	0	3	0	8	8	60	46	0	1
6	0	5	0	26	26	3000	46	6	1
10	0	5	0	217	217	60	47	0	1
6	0	5	0	204	204	3000	47	4	1
11	0	3	0	145	145	60	49	0	1
9	0	3	0	180	180	600	49	1	1
3	0	5	0	52	52	600	49	1	1
3	0	5	0	180	180	600	49	0	1
6	0	5	0	127	127	3000	50	4	1
0	0	5	0	123	123	600	50	1	1
