T	Packet per tau	Transmissions per tau
0	12	7
1	9	8
2	8	7
3	9	8
4	10	9
5	12	9
6	11	10
7	17	13
8	12	10
9	12	10
10	26	16
11	14	14
12	24	15
13	22	15
14	12	12
15	11	11
16	9	9
17	12	12
18	23	16
19	28	13
20	19	17
21	20	17
22	20	17
23	27	22
24	41	20
25	38	20
26	29	23
27	43	19
28	27	20
29	26	21
30	35	27
31	27	23
32	29	21
33	31	18
34	30	21
35	27	21
36	27	21
37	40	25
38	35	25
39	24	19
40	20	20
41	20	16
42	18	18
43	19	19
44	23	19
45	25	23
46	30	21
47	22	20
48	24	22
49	20	18
50	24	19
51	25	18
52	20	17
53	26	19
54	23	21
55	27	20
56	23	17
57	26	18
58	21	16
59	25	22
60	35	22
61	35	22
62	32	22
63	24	21
64	22	20
65	30	22
66	25	22
67	25	20
68	24	18
69	20	17
70	35	21
71	23	21
72	26	22
73	22	21
74	20	20
75	24	22
76	21	21
77	29	18
78	29	21
79	25	23
80	23	23
81	19	19
82	20	17
83	20	19
84	21	20
85	24	22
86	29	19
87	27	19
88	26	15
89	27	17
90	19	19
91	24	23
92	27	18
93	34	19
94	29	19
95	30	20
96	21	18
97	23	20
98	27	17
99	26	18
100	24	17
101	26	23
102	28	19
103	38	25
104	41	23
105	27	23
106	31	23
107	31	21
108	36	19
109	48	21
110	38	23
111	44	23
112	46	24
113	36	27
114	44	27
115	32	26
116	32	23
117	45	22
118	59	25
119	47	22
120	51	24
121	29	26
122	35	26
123	33	28
124	25	25
125	43	25
126	41	30
127	36	29
128	33	26
129	34	26
130	36	23
131	34	26
132	30	25
133	41	25
134	37	24
135	46	22
136	34	26
137	24	20
138	22	17
139	27	23
140	43	19
141	31	19
142	22	19
143	32	22
144	31	20
145	34	23
146	45	20
147	32	21
148	37	24
149	40	24
150	44	22
151	37	21
152	32	23
153	35	20
154	36	26
155	22	22
156	27	20
157	28	20
158	32	23
159	23	21
160	40	22
161	45	24
162	35	22
163	23	21
164	37	24
165	27	22
166	22	22
167	29	22
168	24	24
169	25	23
170	23	17
171	20	18
172	30	20
173	32	20
174	25	22
175	28	23
176	35	21
177	31	18
178	22	18
179	30	20
180	22	21
181	22	18
182	22	16
183	30	18
184	30	19
185	27	19
186	27	21
187	34	21
188	30	20
189	31	22
190	37	21
191	28	21
192	39	26
193	48	25
194	49	28
195	34	21
196	32	24
197	39	27
198	42	26
199	37	28
200	34	22
201	57	30
202	35	18
203	36	24
204	31	26
205	33	28
206	30	25
207	30	28
208	43	28
209	36	24
210	37	27
211	42	25
212	39	21
213	40	21
214	37	18
215	29	20
216	17	17
217	20	17
218	28	23
219	24	17
220	22	20
221	18	18
222	23	19
223	21	19
224	22	17
225	24	20
226	25	18
227	22	22
228	30	22
229	32	25
230	28	22
231	27	17
232	23	20
233	27	23
234	27	21
235	41	21
236	46	24
237	51	23
238	43	24
239	32	24
240	30	21
241	32	24
242	36	27
243	22	22
244	24	22
245	29	25
246	23	21
247	32	25
248	32	22
249	25	21
250	32	21
251	31	24
252	34	24
253	43	28
254	35	25
255	33	24
256	28	21
257	29	22
258	27	22
259	21	16
260	24	14
261	17	16
262	20	16
263	35	18
264	37	20
265	35	20
266	41	19
267	39	24
268	40	24
269	33	24
270	40	27
271	54	30
272	38	25
273	40	26
274	36	25
275	27	25
276	40	27
277	51	29
278	35	27
279	44	26
280	40	25
281	47	28
282	34	21
283	35	22
284	24	22
285	33	23
286	36	25
287	43	21
288	16	16
289	21	21
290	27	21
291	24	24
292	26	22
293	45	25
294	34	25
295	38	24
296	24	19
297	27	18
298	38	22
299	24	19
300	14	14
301	16	14
302	25	20
303	22	19
304	19	19
305	22	16
306	21	20
307	29	24
308	33	21
309	23	19
310	20	17
311	27	22
312	22	21
313	30	20
314	28	23
315	23	21
316	22	21
317	20	19
318	21	21
319	26	21
320	17	16
321	20	20
322	28	23
323	28	22
324	29	24
325	21	20
326	19	19
327	24	21
328	21	21
329	19	19
330	25	20
331	17	17
332	30	24
333	26	19
334	22	18
335	20	18
336	19	19
337	19	18
338	21	21
339	15	15
340	18	18
341	23	18
342	19	19
343	27	22
344	28	22
345	23	20
346	19	17
347	24	17
348	30	20
349	23	23
350	24	20
351	37	24
352	34	25
353	23	20
354	23	21
355	32	24
356	26	22
357	30	24
358	25	23
359	0	0
