T	Packet per tau	Transmissions per tau
0	28	4
1	28	4
2	28	4
3	34	7
4	51	9
5	51	9
6	51	9
7	59	11
8	87	14
9	111	16
10	111	16
11	124	17
12	124	17
13	128	18
14	144	20
15	144	20
16	144	20
17	153	21
18	167	25
19	167	25
20	167	25
21	185	26
22	185	26
23	193	27
24	196	27
25	231	29
26	261	31
27	274	32
28	294	34
29	294	34
30	294	34
31	294	34
32	294	34
33	294	34
34	294	34
35	294	34
36	294	34
37	294	34
38	294	34
39	294	34
40	294	34
41	302	35
42	302	35
43	318	37
44	318	37
45	334	38
46	336	40
47	357	43
48	365	44
49	378	46
50	378	46
51	397	46
52	406	48
53	406	48
54	407	48
55	431	48
56	451	50
57	451	50
58	459	51
59	467	52
60	477	55
61	501	57
62	501	57
63	502	58
64	502	58
65	502	58
66	520	59
67	520	59
68	520	59
69	557	62
70	584	64
71	600	65
72	612	67
73	612	67
74	620	68
75	620	68
76	620	68
77	639	68
78	656	69
79	657	70
80	657	70
81	657	70
82	657	70
83	657	70
84	669	73
85	671	75
86	682	76
87	702	78
88	712	80
89	714	82
90	714	82
91	714	82
92	731	83
93	763	84
94	763	84
95	763	84
96	763	84
97	771	85
98	771	85
99	779	86
100	779	86
101	779	86
102	779	86
103	779	86
104	826	86
105	872	90
106	894	91
107	917	92
108	929	94
109	929	94
110	948	94
111	957	95
112	957	95
113	957	95
114	957	95
115	957	95
116	957	95
117	957	95
118	957	95
119	957	95
120	957	95
121	957	95
122	957	95
123	957	95
124	957	95
125	957	95
126	957	95
127	957	95
128	957	95
129	957	95
130	969	96
131	969	96
132	969	96
133	969	96
134	969	96
135	969	96
136	969	96
137	969	96
138	969	96
139	969	96
140	969	96
141	969	96
142	969	96
143	969	96
144	969	96
145	969	96
146	969	96
147	969	96
148	969	96
149	969	96
150	981	97
151	981	97
152	981	97
153	981	97
154	981	97
155	981	97
156	981	97
157	981	97
158	981	97
159	981	97
160	981	97
161	981	97
162	981	97
163	981	97
164	981	97
165	996	98
166	1012	99
167	1012	99
168	1012	99
169	1012	99
170	1012	99
171	1012	99
172	1012	99
173	1012	99
174	1012	99
175	1012	99
176	1012	99
177	1012	99
178	1012	99
179	1012	99
