T	Packet per tau	Transmissions per tau
0	5	2
1	5	2
2	5	2
3	5	2
4	9	3
5	9	3
6	9	3
7	9	3
8	9	3
9	9	3
10	9	3
11	11	4
12	11	4
13	11	4
14	11	4
15	12	5
16	12	5
17	31	8
18	35	10
19	35	10
20	47	11
21	61	13
22	61	13
23	61	13
24	61	13
25	77	15
26	83	16
27	91	17
28	95	18
29	95	18
30	95	18
31	95	18
32	95	18
33	135	21
34	135	21
35	135	21
36	135	21
37	164	22
38	164	22
39	164	22
40	165	22
41	215	25
42	227	26
43	275	27
44	290	31
45	290	31
46	290	31
47	303	32
48	303	32
49	309	34
50	321	35
51	341	36
52	341	36
53	341	36
54	342	36
55	355	37
56	364	39
57	364	39
58	364	39
59	384	41
60	384	41
61	384	41
62	384	41
63	413	44
64	413	44
65	413	44
66	425	45
67	425	45
68	425	45
69	425	45
70	497	46
71	497	46
72	497	46
73	497	46
74	508	47
75	520	48
76	520	48
77	592	49
78	626	51
79	626	51
80	678	54
81	678	54
82	686	55
83	752	59
84	752	59
85	760	60
86	782	61
87	802	62
88	802	62
89	802	62
90	802	62
91	802	62
92	807	63
93	807	63
94	807	63
95	807	63
96	831	65
97	833	66
98	835	67
99	835	67
100	835	67
101	847	68
102	847	68
103	847	68
104	944	70
105	1001	73
106	1001	73
107	1053	75
108	1095	79
109	1117	80
110	1141	82
111	1141	82
112	1149	83
113	1149	83
114	1149	83
115	1162	84
116	1171	86
117	1172	87
118	1180	89
119	1180	89
120	1180	89
121	1180	89
122	1180	89
123	1180	89
124	1180	89
125	1197	90
126	1197	90
127	1197	90
128	1215	91
129	1219	92
130	1283	93
131	1287	94
132	1287	94
133	1287	94
134	1287	94
135	1299	95
136	1299	95
137	1330	96
138	1330	96
139	1330	96
140	1330	96
141	1330	96
142	1330	96
143	1330	96
144	1330	96
145	1330	96
146	1330	96
147	1330	96
148	1330	96
149	1330	96
150	1442	98
151	1442	98
152	1488	99
153	1488	99
154	1488	99
155	1506	101
156	1506	101
157	1506	101
158	1506	101
159	1517	102
160	1517	102
161	1517	102
162	1517	102
163	1517	102
164	1517	102
165	1566	103
166	1606	104
167	1606	104
168	1606	104
169	1606	104
170	1606	104
171	1606	104
172	1606	104
173	1614	106
174	1632	108
175	1650	112
176	1650	112
177	1650	112
178	1650	112
179	1650	112
