ID	s	d	TTL	size	genT
0	5	11	120	60	0
1	5	11	120	900	0
2	4	8	120	900	0
3	0	6	120	900	0
4	5	11	120	900	0
5	2	8	120	60	0
6	4	10	120	2400	0
7	4	8	120	3000	0
8	4	10	120	900	0
9	5	11	120	3000	0
10	0	6	120	60	0
11	3	11	120	60	0
12	2	10	120	60	0
13	0	6	120	60	0
14	5	9	120	60	12
15	0	6	120	2400	12
16	3	9	120	60	12
17	0	6	120	60	12
18	3	9	120	60	12
19	3	9	120	60	12
20	3	9	120	900	12
21	5	9	120	900	12
22	4	10	120	900	12
23	4	10	120	60	12
24	4	10	120	900	12
25	4	10	120	60	12
26	2	8	120	2400	12
27	0	6	120	3000	12
28	3	11	120	900	27
29	5	9	120	60	27
30	4	8	120	900	27
31	4	8	120	900	27
32	2	10	120	60	27
33	2	8	120	60	27
34	5	11	120	60	27
35	1	7	120	2400	27
36	0	10	120	900	27
37	4	8	120	900	27
38	2	10	120	3000	27
39	3	9	120	900	27
40	1	7	120	900	27
41	3	9	120	3000	35
42	5	11	120	900	35
43	5	9	120	2400	35
44	1	7	120	2400	35
45	2	10	120	60	35
46	0	6	120	900	35
47	5	11	120	60	35
48	3	9	120	60	35
49	0	6	120	60	35
50	5	11	120	900	35
51	4	10	120	900	35
52	5	11	120	900	35
53	2	8	120	60	35
54	3	9	120	3000	35
55	5	9	120	900	46
56	2	10	120	3000	46
57	3	11	120	60	46
58	1	7	120	60	46
59	2	10	120	60	46
60	4	8	120	3000	46
61	3	9	120	900	46
62	2	10	120	60	46
63	5	9	120	900	46
64	3	11	120	900	46
65	0	6	120	60	46
66	1	7	120	60	46
67	0	6	120	3000	46
68	5	9	120	60	52
69	4	8	120	60	52
70	3	9	120	60	52
71	2	8	120	2400	52
72	5	9	120	2400	52
73	5	11	120	900	52
74	2	10	120	900	52
75	3	11	120	900	52
76	5	9	120	900	52
77	3	11	120	900	52
78	5	9	120	900	52
79	1	7	120	900	52
80	5	11	120	900	66
81	5	11	120	2400	66
82	5	11	120	60	66
83	3	9	120	900	66
84	3	9	120	60	66
85	4	10	120	900	66
86	3	11	120	900	66
87	3	9	120	900	66
88	5	7	120	60	66
89	5	9	120	3000	66
90	5	9	120	900	66
91	5	7	120	900	66
92	0	6	120	2400	66
93	4	10	120	900	66
94	4	10	120	60	73
95	0	6	120	2400	73
96	5	9	120	60	73
97	2	8	120	2400	73
98	0	6	120	900	73
99	3	9	120	60	73
100	5	9	120	60	73
101	0	6	120	60	73
102	5	9	120	900	73
103	5	9	120	60	73
104	0	6	120	60	73
105	4	8	120	60	79
106	2	10	120	60	79
107	4	10	120	900	79
108	0	6	120	900	79
109	0	6	120	2400	79
110	5	9	120	900	79
111	5	9	120	900	79
112	5	11	120	900	79
113	5	9	120	900	79
114	3	11	120	900	79
115	3	9	120	60	79
116	0	6	120	3000	79
117	2	8	120	3000	79
118	2	8	120	900	88
119	4	8	120	60	88
120	0	6	120	3000	88
121	5	9	120	60	88
122	0	6	120	60	88
123	5	11	120	900	88
124	4	8	120	60	88
125	0	6	120	60	88
126	3	11	120	900	88
127	2	8	120	900	88
128	5	9	120	900	88
129	2	10	120	900	88
130	2	8	120	60	88
131	3	9	120	900	99
132	5	11	120	900	99
133	2	8	120	3000	99
134	5	11	120	60	99
135	5	11	120	900	99
136	1	7	120	900	99
137	5	11	120	3000	99
138	3	9	120	900	99
139	2	10	120	60	99
140	0	6	120	60	99
141	5	9	120	900	99
142	5	11	120	2400	99
143	2	10	120	900	99
144	3	9	120	60	110
145	5	9	120	900	110
146	4	8	120	60	110
147	3	11	120	900	110
148	3	9	120	900	110
149	3	9	120	2400	110
150	2	8	120	60	110
151	3	11	120	900	110
152	3	11	120	60	110
153	3	11	120	900	110
154	3	9	120	60	110
155	5	9	120	900	110
156	3	9	120	3000	123
157	5	11	120	60	123
158	5	11	120	60	123
159	3	9	120	60	123
160	2	8	120	60	123
161	3	9	120	900	123
162	3	9	120	900	123
163	4	8	120	60	123
164	2	10	120	60	123
165	4	8	120	60	123
166	1	7	120	60	123
167	3	9	120	900	123
168	5	11	120	3000	123
169	4	8	120	900	123
170	3	7	120	900	135
171	2	10	120	900	135
172	5	9	120	2400	135
173	3	9	120	60	135
174	5	7	120	2400	135
175	5	9	120	3000	135
176	3	9	120	900	135
177	5	9	120	60	135
178	2	10	120	60	135
179	2	10	120	3000	135
180	4	10	120	60	135
181	2	10	120	900	135
182	1	7	120	3000	135
183	5	9	120	900	135
184	5	7	120	2400	135
185	4	10	120	900	149
186	5	9	120	60	149
187	5	9	120	2400	149
188	3	11	120	900	149
189	3	9	120	60	149
190	5	9	120	900	149
191	3	9	120	60	149
192	5	9	120	60	149
193	0	6	120	60	149
194	3	11	120	60	149
195	5	9	120	3000	154
196	5	9	120	900	154
197	0	6	120	900	154
198	3	9	120	2400	154
199	5	11	120	3000	154
200	3	11	120	900	154
201	3	11	120	900	154
202	5	11	120	60	154
203	5	9	120	60	154
204	5	11	120	60	154
205	0	6	120	60	161
206	0	6	120	900	161
207	0	6	120	60	161
208	5	11	120	900	161
209	5	9	120	60	161
210	5	9	120	3000	161
211	5	11	120	60	161
212	3	11	120	60	161
213	5	11	120	3000	161
214	0	6	120	900	161
215	5	9	120	60	161
216	5	11	120	3000	172
217	2	10	120	60	172
218	5	11	120	2400	172
219	0	6	120	3000	172
220	1	7	120	60	172
221	2	8	120	900	172
222	5	11	120	3000	172
223	2	8	120	900	172
224	4	8	120	900	172
225	4	8	120	900	172
226	0	6	120	900	172
227	5	11	120	60	172
228	3	9	120	900	172
229	2	8	120	900	172
230	4	8	120	60	187
231	2	8	120	60	187
232	2	8	120	2400	187
233	3	11	120	900	187
234	3	9	120	900	187
235	5	11	120	900	187
236	3	11	120	3000	187
237	3	11	120	60	187
238	2	8	120	900	187
239	4	10	120	900	187
240	2	8	120	900	187
241	4	10	120	60	198
242	1	7	120	2400	198
243	5	9	120	60	198
244	3	11	120	60	198
245	3	9	120	2400	198
246	3	9	120	2400	198
247	3	9	120	900	198
248	2	10	120	60	198
249	4	8	120	60	198
250	2	6	120	60	198
251	1	7	120	2400	203
252	4	10	120	900	203
253	4	10	120	2400	203
254	2	10	120	900	203
255	3	9	120	60	203
256	1	7	120	2400	203
257	1	7	120	60	203
258	4	10	120	60	203
259	4	8	120	2400	203
260	2	10	120	60	203
261	1	7	120	60	203
262	5	9	120	2400	203
263	5	9	120	900	203
264	5	7	120	3000	203
265	4	8	120	900	208
266	0	6	120	900	208
267	3	11	120	60	208
268	5	9	120	900	208
269	3	11	120	60	208
270	1	7	120	900	208
271	4	10	120	900	208
272	1	7	120	2400	208
273	3	9	120	900	208
274	4	10	120	3000	208
275	4	10	120	900	208
276	4	10	120	60	208
277	3	11	120	60	215
278	2	10	120	3000	215
279	0	6	120	900	215
280	4	10	120	60	215
281	3	9	120	60	215
282	5	9	120	60	215
283	2	8	120	60	215
284	4	10	120	60	215
285	3	11	120	3000	215
286	0	6	120	900	215
287	4	10	120	3000	215
288	2	8	120	2400	215
289	2	10	120	60	215
290	4	10	120	60	220
291	2	10	120	60	220
292	4	8	120	60	220
293	3	11	120	60	220
294	3	9	120	900	220
295	0	6	120	60	220
296	2	10	120	900	220
297	2	10	120	60	220
298	4	10	120	3000	220
299	5	9	120	2400	220
300	3	9	120	3000	220
301	3	11	120	900	220
302	5	11	120	900	226
303	5	11	120	60	226
304	3	11	120	60	226
305	5	9	120	60	226
306	3	11	120	60	226
307	3	9	120	3000	226
308	4	10	120	2400	226
309	1	7	120	900	226
310	4	10	120	60	226
311	0	6	120	60	226
312	5	9	120	2400	226
313	3	9	120	900	226
314	3	9	120	900	226
315	5	11	120	2400	237
316	0	6	120	3000	237
317	5	9	120	60	237
318	3	11	120	60	237
319	0	6	120	900	237
320	3	11	120	3000	237
321	5	9	120	60	237
322	3	11	120	2400	237
323	1	7	120	60	237
324	0	6	120	60	237
